ID,Name,Phone,Time,WindowType,HandleType,MaterialInsideType,MaterialOutsideType,MechanismType,FrameType
0, , ,7/23/2026 3:15:42 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
1, , ,7/23/2026 3:51:04 PM,85,Hoppe_Toulon,NeroCCPlus,NeroCCPlus,Swing,Two
2, , ,7/23/2026 3:56:57 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
3, , ,7/23/2026 4:00:01 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
4, , ,7/23/2026 4:01:23 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
5, , ,7/23/2026 4:03:00 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
6, , ,7/23/2026 4:04:08 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
7, , ,7/23/2026 4:05:03 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
8, , ,7/23/2026 4:07:15 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
9, , ,7/23/2026 4:13:19 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
10, , ,7/23/2026 4:17:57 PM,85,Hoppe_Toulon,OliveGrey,OliveGrey,Swing,Two
